# Initial mass = 1.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.651, Mass expelled =   0.3490
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i) 
   -0.3031   1.2859   1.9553   0.6694   0.4075
# Initial mass = 3.000, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.748, Mass expelled =   2.2520
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.07768E-01 -1.02190E-01  1.59389E+00
 he   2  11.003193  0.073193  0.770327  2.83145E-01  7.42441E-02  6.37642E-01
  c   6   9.077721  0.607720  1.304854  1.00863E-02  2.15722E-02  2.27143E-02
  n   7   7.663903 -0.206097  0.491037  4.53606E-04  6.86960E-04  1.02152E-03
  o   8   8.112995 -0.617004  0.080130  1.45720E-03  5.50453E-04  3.28160E-03
  f   9   5.361510  0.901510  1.598644  3.06654E-06  6.72931E-06  6.90584E-06
 ne  10   8.129892  0.159893  0.857027  1.91093E-03  3.69661E-03  4.30341E-03
 na  11   6.206604 -0.103395  0.593739  2.59761E-05  4.33737E-05  5.84981E-05
 mg  12   7.123291 -0.516708  0.180426  2.26682E-04  1.68651E-04  5.10488E-04
 al  13   5.978232 -0.491768  0.205366  1.80192E-05  1.49225E-05  4.05793E-05
 si  14   6.873278 -0.676722  0.020412  1.47299E-04  1.06317E-05  3.31717E-04
  p  15   4.973413 -0.496587  0.200547  2.04569E-06  1.66162E-06  4.60690E-06
  s  16   6.466026 -0.693974  0.003160  6.58397E-05 -1.06328E-06  1.48271E-04
 cl  17   4.578544 -0.651456  0.045678  9.43251E-07  1.84298E-07  2.12420E-06
 ar  18   5.742849 -0.697151 -0.000017  1.55158E-05 -5.08451E-07  3.49416E-05
  k  19   4.405283 -0.674716  0.022418  6.98021E-07  5.93971E-08  1.57194E-06
 ca  20   5.590769 -0.699231 -0.002097  1.09674E-05 -4.79233E-07  2.46987E-05
 sc  21   2.573596 -0.476404  0.220730  1.18254E-08  1.03784E-08  2.66307E-08
 ti  22   4.238537 -0.671463  0.025671  5.82109E-07  5.72924E-08  1.31091E-06
  v  23   3.262711 -0.697289 -0.000155  6.54963E-08 -1.82169E-09  1.47498E-07
 cr  24   4.927004 -0.712996 -0.015862  3.08606E-06 -4.55002E-08  6.94981E-06
 mn  25   4.781918 -0.698082 -0.000948  2.33464E-06 -8.81059E-08  5.25762E-06
 fe  26   6.842866 -0.697134  0.000000  2.73074E-04 -8.93167E-06  6.14963E-04
 co  27   4.594798 -0.275202  0.421932  1.62775E-06  2.25807E-06  3.66568E-06
 ni  28   5.549001 -0.650999  0.046135  1.45887E-05  2.88173E-06  3.28538E-05
 cu  29   3.982426 -0.267574  0.429560  4.28494E-07  6.00872E-07  9.64968E-07
 zn  30   4.090269 -0.539732  0.157403  5.65375E-07  3.74202E-07  1.27322E-06
 ga  31   2.902552 -0.177448  0.519686  3.91163E-08  6.10812E-08  8.80899E-08
 ge  32   3.373740 -0.206260  0.490874  1.20600E-07  1.89380E-07  2.71590E-07
 as  33   1.983073 -0.316927  0.380207  5.05957E-09  6.57761E-09  1.13941E-08
 se  34   3.281084 -0.058916  0.638218  1.05906E-07  1.88196E-07  2.38501E-07
 br  35   2.449746 -0.090254  0.606880  1.58032E-08  2.66619E-08  3.55889E-08
 kr  36   3.887947  0.637947  1.335081  4.54581E-07  9.75877E-07  1.02372E-06
 rb  37   3.092449  0.732449  1.429583  7.42477E-08  1.60897E-07  1.67206E-07
 sr  38   3.540121  0.660121  1.357255  2.13381E-07  4.59237E-07  4.80533E-07
  y  39   2.980591  0.810591  1.507725  5.96970E-08  1.30200E-07  1.34438E-07
 zr  40   3.403239  0.873239  1.570373  1.62098E-07  3.55086E-07  3.65046E-07
 nb  41   2.245411  0.835411  1.532545  1.14785E-08  2.50801E-08  2.58496E-08
 mo  42   2.741381  0.801381  1.498515  3.71373E-08  8.15965E-08  8.36333E-08
 ru  44   2.204641  0.444641  1.141775  1.13683E-08  2.42152E-08  2.56013E-08
 rh  45   1.114977  0.054977  0.752111  9.41561E-10  1.73971E-09  2.12039E-09
 pd  46   2.141840  0.491840  1.188974  1.03584E-08  2.19907E-08  2.33272E-08
 ag  47   1.359155  0.159155  0.856289  1.73172E-09  3.34901E-09  3.89984E-09
 cd  48   2.368781  0.658781  1.355915  1.84510E-08  3.98565E-08  4.15517E-08
 in  49   1.270068  0.510068  1.207202  1.50144E-09  3.17750E-09  3.38125E-09
 sn  50   2.951311  0.881311  1.578445  7.45124E-08  1.63910E-07  1.67802E-07
 sb  51   1.465435  0.455435  1.152569  2.49673E-09  5.39296E-09  5.62263E-09
 te  52   2.578131  0.398131  1.095265  3.39166E-08  7.42588E-08  7.63801E-08
  i  53   1.477386 -0.072613  0.624521  2.67481E-09  4.57291E-09  6.02367E-09
 xe  54   2.812102  0.572102  1.269236  5.98101E-08  1.27943E-07  1.34692E-07
 cs  55   1.506159  0.426159  1.123293  2.99317E-09  6.22577E-09  6.74061E-09
 ba  56   3.559702  1.379702  2.076836  3.49856E-07  7.81192E-07  7.87875E-07
 la  57   2.562013  1.392013  2.089147  3.55766E-08  7.94571E-08  8.01185E-08
 ce  58   3.100950  1.520950  2.218084  1.24128E-07  2.77826E-07  2.79535E-07
 pr  59   2.067023  1.307023  2.004157  1.15449E-08  2.57378E-08  2.59991E-08
 nd  60   2.761409  1.311409  2.008543  5.84690E-08  1.30436E-07  1.31672E-07
 sm  62   2.004810  1.064810  1.761944  1.06751E-08  2.37274E-08  2.40404E-08
 eu  63   0.958879  0.448879  1.146013  9.70623E-10  2.02740E-09  2.18584E-09
 gd  64   1.893389  0.843389  1.540523  8.63795E-09  1.88842E-08  1.94527E-08
 tb  65   0.868241  0.548241  1.245375  8.23881E-10  1.74839E-09  1.85538E-09
 dy  66   2.015668  0.885668  1.582802  1.18291E-08  2.59339E-08  2.66391E-08
 ho  67   0.993034  0.523034  1.220168  1.13963E-09  2.40962E-09  2.56645E-09
 er  68   1.879338  0.959338  1.656472  8.89526E-09  1.95917E-08  2.00321E-08
 tm  69   0.908490  0.788490  1.485624  9.60810E-10  2.09199E-09  2.16374E-09
 yb  70   2.218134  1.298134  1.995268  2.00775E-08  4.48117E-08  4.52146E-08
 lu  71   1.258368  1.168368  1.865502  2.22717E-09  4.94624E-09  5.01559E-09
 hf  72   2.195595  1.485595  2.182729  1.96625E-08  4.39856E-08  4.42800E-08
 ta  73   1.226147  1.346147  2.043281  2.13861E-09  4.77192E-09  4.81615E-09
  w  74   2.129406  1.479406  2.176540  1.73891E-08  3.88960E-08  3.91602E-08
 re  75   1.206671  0.946671  1.643805  2.10425E-09  4.62959E-09  4.73876E-09
 os  76   2.115942  0.765942  1.463076  1.74442E-08  3.79125E-08  3.92844E-08
 ir  77   1.313951 -0.006049  0.691085  2.78083E-09  4.96846E-09  6.26242E-09
 pt  78   2.061530  0.441530  1.138664  1.57823E-08  3.31094E-08  3.55416E-08
 au  79   1.268000  0.468000  1.165134  2.56344E-09  5.37245E-09  5.77287E-09
 hg  80   2.552686  1.382686  2.079820  5.02835E-08  1.12350E-07  1.13239E-07
 tl  81   2.395117  1.625117  2.322251  3.56444E-08  7.98835E-08  8.02713E-08
 pb  82   3.910231  1.870231  2.567365  1.18318E-06  2.65721E-06  2.66453E-06
 bi  83   2.280088  1.630088  2.327222  2.79656E-08  6.26777E-08  6.29785E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.1408   1.4785   2.1280   0.6496   0.4393
# Initial mass = 3.250, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.802, Mass expelled =   2.4480
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.19477E-01 -8.24184E-02  1.76128E+00
 he   2  10.982885  0.052885  0.757022  2.74681E-01  5.99857E-02  6.72418E-01
  c   6   8.964982  0.494982  1.199119  7.90893E-03  1.81196E-02  1.93611E-02
  n   7   7.621116 -0.248884  0.455253  4.17847E-04  6.59210E-04  1.02289E-03
  o   8   8.080983 -0.649016  0.055121  1.37604E-03  3.99704E-04  3.36856E-03
  f   9   5.055248  0.595248  1.299386  1.53997E-06  3.57795E-06  3.76985E-06
 ne  10   7.897393 -0.072607  0.631531  1.13729E-03  2.12447E-03  2.78409E-03
 na  11   6.013023 -0.296977  0.407161  1.69090E-05  2.49526E-05  4.13933E-05
 mg  12   7.093971 -0.546029  0.158108  2.15389E-04  1.55683E-04  5.27272E-04
 al  13   5.922915 -0.547085  0.157053  1.61267E-05  1.15884E-05  3.94782E-05
 si  14   6.868414 -0.681586  0.022551  1.48068E-04  1.34397E-05  3.62470E-04
  p  15   4.921196 -0.548804  0.155333  1.84395E-06  1.31237E-06  4.51399E-06
  s  16   6.458761 -0.701239  0.002899  6.58186E-05 -1.20727E-06  1.61124E-04
 cl  17   4.563976 -0.666024  0.038113  9.27226E-07  1.61108E-07  2.26985E-06
 ar  18   5.736957 -0.703043  0.001094  1.55600E-05 -4.44612E-07  3.80908E-05
  k  19   4.397224 -0.682775  0.021362  6.96523E-07  6.09001E-08  1.70509E-06
 ca  20   5.584854 -0.705146 -0.001009  1.09981E-05 -4.45940E-07  2.69233E-05
 sc  21   2.540092 -0.509908  0.194229  1.11285E-08  9.57569E-09  2.72425E-08
 ti  22   4.223021 -0.686979  0.017159  5.70971E-07  3.50146E-08  1.39774E-06
  v  23   3.256538 -0.703462  0.000676  6.56404E-08 -1.62770E-09  1.60688E-07
 cr  24   4.919672 -0.720327 -0.016190  3.08460E-06 -5.30349E-08  7.55111E-06
 mn  25   4.773226 -0.706774 -0.002636  2.32625E-06 -1.16335E-07  5.69465E-06
 fe  26   6.835863 -0.704137  0.000000  2.73152E-04 -9.51969E-06  6.68675E-04
 co  27   4.567746 -0.302254  0.401883  1.55475E-06  2.27591E-06  3.80603E-06
 ni  28   5.559326 -0.640674  0.063464  1.51869E-05  4.59684E-06  3.71775E-05
 cu  29   4.008209 -0.241791  0.462346  4.62226E-07  7.35743E-07  1.13153E-06
 zn  30   4.069102 -0.560898  0.143239  5.47390E-07  3.62742E-07  1.34001E-06
 ga  31   2.843493 -0.236506  0.467631  3.47077E-08  5.56051E-08  8.49645E-08
 ge  32   3.302351 -0.277649  0.426488  1.04012E-07  1.65255E-07  2.54621E-07
 as  33   1.916903 -0.383097  0.321040  4.41641E-09  5.57564E-09  1.08114E-08
 se  34   3.174834 -0.165166  0.538972  8.42943E-08  1.51669E-07  2.06352E-07
 br  35   2.346651 -0.193349  0.510788  1.26700E-08  2.13122E-08  3.10162E-08
 kr  36   3.660169  0.410169  1.114306  2.73502E-07  6.17529E-07  6.69532E-07
 rb  37   2.899840  0.539840  1.243978  4.84396E-08  1.11722E-07  1.18580E-07
 sr  38   3.315543  0.435543  1.139680  1.29331E-07  2.93453E-07  3.16603E-07
  y  39   2.750369  0.580369  1.284506  3.57155E-08  8.28255E-08  8.74315E-08
 zr  40   3.180727  0.650727  1.354864  9.87172E-08  2.30833E-07  2.41660E-07
 nb  41   1.990522  0.580522  1.284660  6.48818E-09  1.50467E-08  1.58831E-08
 mo  42   2.534095  0.594095  1.298232  2.34235E-08  5.51266E-08  5.73406E-08
 ru  44   2.046219  0.286219  0.990356  8.02413E-09  1.81363E-08  1.96431E-08
 rh  45   0.962732 -0.097268  0.606870  6.74109E-10  1.23640E-09  1.65022E-09
 pd  46   1.920683  0.270683  0.974820  6.32796E-09  1.40380E-08  1.54908E-08
 ag  47   1.143222 -0.056778  0.647359  1.07071E-09  2.02232E-09  2.62109E-09
 cd  48   2.062839  0.352839  1.056976  9.27266E-09  2.08567E-08  2.26995E-08
 in  49   0.948502  0.188502  0.892639  7.27894E-10  1.56040E-09  1.78189E-09
 sn  50   2.609537  0.539537  1.243675  3.44811E-08  8.01789E-08  8.44098E-08
 sb  51   1.149294  0.139294  0.843431  1.22562E-09  2.75066E-09  3.00032E-09
 te  52   2.273005  0.093004  0.797142  1.70770E-08  3.94986E-08  4.18046E-08
  i  53   1.261511 -0.288489  0.415648  1.65403E-09  2.47203E-09  4.04906E-09
 xe  54   2.562742  0.322742  1.026880  3.42405E-08  7.64837E-08  8.38209E-08
 cs  55   1.244573  0.164573  0.868710  1.66598E-09  3.51868E-09  4.07832E-09
 ba  56   3.294839  1.114839  1.818976  1.93264E-07  4.65846E-07  4.73110E-07
 la  57   2.278114  1.108114  1.812252  1.88102E-08  4.53283E-08  4.60473E-08
 ce  58   2.841809  1.261809  1.965947  6.94791E-08  1.68227E-07  1.70085E-07
 pr  59   1.800238  1.040238  1.744375  6.34937E-09  1.52593E-08  1.55433E-08
 nd  60   2.509903  1.059903  1.764040  3.33078E-08  8.01932E-08  8.15374E-08
 sm  62   1.763603  0.823603  1.527740  6.22720E-09  1.49039E-08  1.52442E-08
 eu  63   0.729446  0.219446  0.923584  5.81760E-10  1.25192E-09  1.42415E-09
 gd  64   1.650461  0.600461  1.304599  5.01891E-09  1.16683E-08  1.22863E-08
 tb  65   0.640624  0.320624  1.024761  4.95876E-10  1.09761E-09  1.21391E-09
 dy  66   1.773883  0.643883  1.348020  6.89118E-09  1.61030E-08  1.68696E-08
 ho  67   0.760680  0.290680  0.994817  6.78479E-10  1.49044E-09  1.66092E-09
 er  68   1.626687  0.706687  1.410824  5.05398E-09  1.18934E-08  1.23722E-08
 tm  69   0.671592  0.551592  1.255729  5.66064E-10  1.30773E-09  1.38572E-09
 yb  70   1.969173  1.049173  1.753311  1.15047E-08  2.77256E-08  2.81636E-08
 lu  71   1.021451  0.931451  1.635588  1.31209E-09  3.13660E-09  3.21200E-09
 hf  72   1.956013  1.246013  1.950150  1.15129E-08  2.78634E-08  2.81835E-08
 ta  73   0.994642  1.114642  1.818780  1.27571E-09  3.07488E-09  3.12295E-09
  w  74   1.895168  1.245168  1.949306  1.03078E-08  2.49462E-08  2.52335E-08
 re  75   0.986219  0.726219  1.430357  1.28757E-09  3.03330E-09  3.15198E-09
 os  76   1.905439  0.555439  1.259577  1.09213E-08  2.52441E-08  2.67354E-08
 ir  77   1.149861 -0.170139  0.533999  1.93736E-09  3.33607E-09  4.74265E-09
 pt  78   1.858509  0.238509  0.942646  1.00525E-08  2.19647E-08  2.46085E-08
 au  79   1.066375  0.266375  0.970512  1.63804E-09  3.57465E-09  4.00993E-09
 hg  80   2.317605  1.147605  1.851742  2.97489E-08  7.18591E-08  7.28253E-08
 tl  81   2.152197  1.382197  2.086334  2.07109E-08  5.02788E-08  5.07003E-08
 pb  82   3.690434  1.650434  2.354571  7.25071E-07  1.76702E-06  1.77497E-06
 bi  83   2.097860  1.447860  2.151998  1.86863E-08  4.54170E-08  4.57440E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.1109   1.2597   1.8657   0.6060   0.4888
# Initial mass = 3.500, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.848, Mass expelled =   2.6520
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.21066E-01 -8.50728E-02  1.91227E+00
 he   2  10.981751  0.051751  0.757853  2.74569E-01  6.46883E-02  7.28157E-01
  c   6   8.875401  0.405400  1.111502  6.44903E-03  1.57579E-02  1.71028E-02
  n   7   7.673416 -0.196584  0.509517  4.72363E-04  8.58720E-04  1.25271E-03
  o   8   8.080388 -0.649611  0.056490  1.37720E-03  4.36064E-04  3.65232E-03
  f   9   4.865924  0.405924  1.112026  9.98038E-07  2.43891E-06  2.64680E-06
 ne  10   7.859963 -0.110036  0.596065  1.04568E-03  2.05857E-03  2.77315E-03
 na  11   6.041936 -0.268064  0.438038  1.81130E-05  3.02248E-05  4.80357E-05
 mg  12   7.137671 -0.502329  0.203772  2.38716E-04  2.30520E-04  6.33074E-04
 al  13   5.879719 -0.590281  0.115820  1.46321E-05  8.59042E-06  3.88045E-05
 si  14   6.872498 -0.677503  0.028599  1.49797E-04  1.91450E-05  3.97261E-04
  p  15   4.984691 -0.485309  0.220793  2.13896E-06  2.20411E-06  5.67253E-06
  s  16   6.459172 -0.700828  0.005273  6.60264E-05 -7.56874E-07  1.75102E-04
 cl  17   4.560082 -0.669918  0.036184  9.20980E-07  1.57970E-07  2.44244E-06
 ar  18   5.736425 -0.703575  0.002526  1.55752E-05 -4.41119E-07  4.13056E-05
  k  19   4.396978 -0.683022  0.023079  6.97665E-07  6.90040E-08  1.85021E-06
 ca  20   5.584056 -0.705944  0.000157  1.10021E-05 -4.72346E-07  2.91776E-05
 sc  21   2.539297 -0.510703  0.195399  1.11327E-08  1.03848E-08  2.95239E-08
 ti  22   4.221366 -0.688634  0.017467  5.70056E-07  3.55038E-08  1.51179E-06
  v  23   3.257602 -0.702398  0.003703  6.59466E-08 -9.51104E-10  1.74890E-07
 cr  24   4.918071 -0.721929 -0.015827  3.08004E-06 -6.95618E-08  8.16826E-06
 mn  25   4.771577 -0.708423 -0.002321  2.32255E-06 -1.35834E-07  6.15940E-06
 fe  26   6.833899 -0.706101  0.000000  2.72520E-04 -1.19886E-05  7.22722E-04
 co  27   4.514211 -0.355789  0.350312  1.37748E-06  1.99543E-06  3.65307E-06
 ni  28   5.576962 -0.623038  0.083064  1.58512E-05  6.74172E-06  4.20375E-05
 cu  29   4.079932 -0.170068  0.536033  5.46431E-07  1.02037E-06  1.44913E-06
 zn  30   4.097502 -0.532498  0.173604  5.85672E-07  4.94496E-07  1.55320E-06
 ga  31   2.896437 -0.183563  0.522538  3.92941E-08  7.24020E-08  1.04208E-07
 ge  32   3.347531 -0.232469  0.473633  1.15670E-07  2.09945E-07  3.06758E-07
 as  33   1.949429 -0.350571  0.355530  4.77038E-09  6.97901E-09  1.26511E-08
 se  34   3.212276 -0.127724  0.578377  9.20868E-08  1.84974E-07  2.44214E-07
 br  35   2.381261 -0.158739  0.547362  1.37513E-08  2.59559E-08  3.64685E-08
 kr  36   3.712507  0.462507  1.168609  3.09212E-07  7.63693E-07  8.20030E-07
 rb  37   2.955390  0.595390  1.301491  5.51707E-08  1.38883E-07  1.46313E-07
 sr  38   3.315234  0.435234  1.141335  1.29525E-07  3.18421E-07  3.43499E-07
  y  39   2.746041  0.576041  1.282143  3.54395E-08  8.89957E-08  9.39855E-08
 zr  40   3.195829  0.665829  1.371931  1.02436E-07  2.59932E-07  2.71661E-07
 nb  41   1.964071  0.554071  1.260173  6.11829E-09  1.53196E-08  1.62257E-08
 mo  42   2.532761  0.592761  1.298862  2.34032E-08  5.96667E-08  6.20653E-08
 ru  44   2.133164  0.373164  1.079266  9.82431E-09  2.44217E-08  2.60541E-08
 rh  45   1.043424 -0.016576  0.689525  8.13540E-10  1.70920E-09  2.15751E-09
 pd  46   2.013958  0.363958  1.070059  7.86134E-09  1.92744E-08  2.08483E-08
 ag  47   1.220699  0.020699  0.726801  1.28265E-09  2.75291E-09  3.40158E-09
 cd  48   2.128452  0.418452  1.124554  1.08088E-08  2.66686E-08  2.86648E-08
 in  49   0.994335  0.234335  0.940437  8.10701E-10  1.91004E-09  2.14998E-09
 sn  50   2.604088  0.534088  1.240189  3.41263E-08  8.59197E-08  9.05031E-08
 sb  51   1.125475  0.115475  0.821576  1.16277E-09  2.81321E-09  3.08367E-09
 te  52   2.243635  0.063635  0.769737  1.59956E-08  3.99222E-08  4.24203E-08
  i  53   1.242464 -0.307536  0.398566  1.58655E-09  2.49908E-09  4.20753E-09
 xe  54   2.555623  0.315623  1.021724  3.37582E-08  8.15781E-08  8.95267E-08
 cs  55   1.223713  0.143713  0.849814  1.59136E-09  3.61401E-09  4.22029E-09
 ba  56   3.310133  1.130133  1.836234  2.00634E-07  5.24210E-07  5.32081E-07
 la  57   2.263705  1.093705  1.799807  1.82365E-08  4.75843E-08  4.83632E-08
 ce  58   2.815556  1.235556  1.941657  6.55477E-08  1.71820E-07  1.73833E-07
 pr  59   1.764896  1.004896  1.710998  5.86607E-09  1.52492E-08  1.55568E-08
 nd  60   2.481743  1.031743  1.737844  3.12855E-08  8.15130E-08  8.29692E-08
 sm  62   1.739791  0.799791  1.505892  5.90798E-09  1.52994E-08  1.56680E-08
 eu  63   0.705479  0.195479  0.901580  5.51740E-10  1.27663E-09  1.46321E-09
 gd  64   1.622198  0.572198  1.278300  4.71308E-09  1.18296E-08  1.24991E-08
 tb  65   0.618409  0.298409  1.004511  4.72190E-10  1.12626E-09  1.25225E-09
 dy  66   1.746627  0.616627  1.322728  6.48628E-09  1.63711E-08  1.72016E-08
 ho  67   0.734567  0.264567  0.970668  6.40297E-10  1.51338E-09  1.69807E-09
 er  68   1.593656  0.673656  1.379757  4.69419E-09  1.19303E-08  1.24490E-08
 tm  69   0.648814  0.528814  1.234916  5.38327E-10  1.34315E-09  1.42764E-09
 yb  70   1.936230  1.016230  1.722331  1.06879E-08  2.78697E-08  2.83442E-08
 lu  71   0.995477  0.905477  1.611578  1.23865E-09  3.20322E-09  3.28489E-09
 hf  72   1.929615  1.219615  1.925716  1.08579E-08  2.84483E-08  2.87950E-08
 ta  73   0.980427  1.100427  1.806528  1.23736E-09  3.22940E-09  3.28147E-09
  w  74   1.867546  1.217546  1.923648  9.69397E-09  2.53972E-08  2.57084E-08
 re  75   0.972259  0.712259  1.418360  1.24960E-09  3.18536E-09  3.31393E-09
 os  76   1.884730  0.534730  1.240832  1.04358E-08  2.60601E-08  2.76757E-08
 ir  77   1.140481 -0.179519  0.526582  1.90015E-09  3.51539E-09  5.03919E-09
 pt  78   1.837465  0.217465  0.923567  9.59818E-09  2.25902E-08  2.54544E-08
 au  79   1.047574  0.247574  0.953675  1.57211E-09  3.69767E-09  4.16923E-09
 hg  80   2.286308  1.116308  1.822410  2.77417E-08  7.25242E-08  7.35709E-08
 tl  81   2.119378  1.349378  2.055480  1.92459E-08  5.05835E-08  5.10401E-08
 pb  82   3.744035  1.704035  2.410136  8.22128E-07  2.17166E-06  2.18028E-06
 bi  83   2.333557  1.683557  2.389658  3.22238E-08  8.51033E-08  8.54575E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.0704   1.2651   1.8592   0.5941   0.5509
# Initial mass = 3.750, Z =  0.0028, Y =  0.250, M_mix = 1.00E-04, VW93
# Final mass = 0.858, Mass expelled =   2.8920
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.15566E-01 -1.08679E-01  2.06942E+00
 he   2  10.994596  0.064595  0.764021  2.80653E-01  8.81384E-02  8.11649E-01
  c   6   8.860085  0.390085  1.089511  6.17809E-03  1.64004E-02  1.78670E-02
  n   7   7.954261  0.084261  0.783687  8.94943E-04  2.15853E-03  2.58817E-03
  o   8   8.043966 -0.686033  0.013392  1.25675E-03  1.27193E-04  3.63452E-03
  f   9   4.662432  0.202432  0.901857  6.19910E-07  1.56608E-06  1.79278E-06
 ne  10   7.509593 -0.460407  0.239019  4.63131E-04  5.60124E-04  1.33937E-03
 na  11   5.850009 -0.459991  0.239435  1.15541E-05  1.39919E-05  3.34145E-05
 mg  12   7.015010 -0.624990  0.074436  1.78606E-04  7.75434E-05  5.16528E-04
 al  13   5.858363 -0.611637  0.087789  1.38238E-05  7.03002E-06  3.99784E-05
 si  14   6.867114 -0.682887  0.016539  1.46823E-04  1.22763E-05  4.24611E-04
  p  15   4.830289 -0.639710  0.059715  1.48756E-06  5.19731E-07  4.30204E-06
  s  16   6.461822 -0.698178  0.001247  6.59237E-05 -1.12232E-06  1.90651E-04
 cl  17   4.557659 -0.672341  0.027084  9.08869E-07  1.37240E-07  2.62845E-06
 ar  18   5.741205 -0.698795  0.000631  1.56275E-05 -3.29961E-07  4.51947E-05
  k  19   4.395104 -0.684896  0.014530  6.89364E-07  5.12398E-08  1.99364E-06
 ca  20   5.589719 -0.700281 -0.000855  1.10615E-05 -3.43400E-07  3.19898E-05
 sc  21   2.479463 -0.570537  0.128888  9.62587E-09  6.96693E-09  2.78380E-08
 ti  22   4.215883 -0.694117  0.005309  5.58609E-07  5.61454E-09  1.61550E-06
  v  23   3.256935 -0.703065 -0.003639  6.53432E-08 -2.78226E-09  1.88973E-07
 cr  24   4.922949 -0.717051 -0.017625  3.09106E-06 -4.39677E-08  8.93936E-06
 mn  25   4.779961 -0.700039 -0.000614  2.34976E-06 -6.94399E-08  6.79550E-06
 fe  26   6.840574 -0.699426  0.000000  2.74630E-04 -6.97060E-06  7.94230E-04
 co  27   4.491965 -0.378035  0.321391  1.29871E-06  1.94823E-06  3.75587E-06
 ni  28   5.549441 -0.650558  0.048867  1.47644E-05  4.20884E-06  4.26988E-05
 cu  29   3.928671 -0.321329  0.378097  3.82780E-07  6.39429E-07  1.10700E-06
 zn  30   4.015455 -0.614545  0.084880  4.81152E-07  2.36974E-07  1.39149E-06
 ga  31   2.665476 -0.414524  0.284902  2.29108E-08  3.15737E-08  6.62581E-08
 ge  32   3.103135 -0.476865  0.222561  6.53883E-08  8.35287E-08  1.89103E-07
 as  33   1.751914 -0.548086  0.151340  3.00409E-09  2.50248E-09  8.68783E-09
 se  34   2.877149 -0.462851  0.236574  4.22420E-08  5.75631E-08  1.22164E-07
 br  35   2.068838 -0.471162  0.228264  6.64655E-09  7.75785E-09  1.92218E-08
 kr  36   2.935637 -0.314363  0.385063  5.12932E-08  8.69045E-08  1.48340E-07
 rb  37   2.194967 -0.165033  0.534393  9.50517E-09  1.93873E-08  2.74890E-08
 sr  38   2.570335 -0.309665  0.389761  2.31275E-08  3.95365E-08  6.68847E-08
  y  39   1.939569 -0.230432  0.468994  5.49147E-09  1.04400E-08  1.58813E-08
 zr  40   2.357047 -0.172953  0.526473  1.47348E-08  2.98232E-08  4.26132E-08
 nb  41   1.184471 -0.225529  0.473897  1.00857E-09  1.92865E-09  2.91677E-09
 mo  42   1.704389 -0.235611  0.463814  3.44808E-09  7.35624E-09  9.97186E-09
 ru  44   1.294408 -0.465592  0.233834  1.41325E-09  2.30707E-09  4.08713E-09
 rh  45   0.478783 -0.581217  0.118208  2.19995E-10  1.47349E-10  6.36226E-10
 pd  46   1.201268 -0.448732  0.250694  1.20083E-09  1.75648E-09  3.47279E-09
 ag  47   0.631007 -0.568993  0.130433  3.27408E-10  2.39489E-10  9.46864E-10
 cd  48   1.310003 -0.399997  0.299429  1.62930E-09  2.53500E-09  4.71193E-09
 in  49   0.275861 -0.484139  0.215286  1.53837E-10  1.83242E-10  4.44896E-10
 sn  50   1.768835 -0.301165  0.398261  4.94894E-09  9.31415E-09  1.43123E-08
 sb  51   0.386559 -0.623441  0.075985  2.10501E-10  3.13830E-10  6.08768E-10
 te  52   1.444245 -0.735755 -0.036329  2.51934E-09  4.56174E-09  7.28592E-09
  i  53   0.908340 -0.641659  0.057766  7.29466E-10  2.46551E-10  2.10961E-09
 xe  54   1.824593 -0.415407  0.284018  6.22335E-09  9.32995E-09  1.79979E-08
 cs  55   0.593687 -0.486313  0.213113  3.70184E-10  4.09424E-10  1.07057E-09
 ba  56   2.341052  0.161052  0.860478  2.13795E-08  5.32469E-08  6.18295E-08
 la  57   1.308934  0.138934  0.838360  2.00837E-09  4.95886E-09  5.80821E-09
 ce  58   1.855257  0.275257  0.974683  7.12746E-09  1.84181E-08  2.06126E-08
 pr  59   0.842649  0.082649  0.782074  6.96264E-10  1.67809E-09  2.01360E-09
 nd  60   1.525776  0.075776  0.775202  3.43599E-09  8.34891E-09  9.93688E-09
 sm  62   0.806157 -0.133843  0.565583  6.83092E-10  1.57354E-09  1.97550E-09
