# Initial mass = 1.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.651, Mass expelled =   0.3490
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i) 
 lu  71  -0.616799 -0.706799 -0.001685  3.06695E-11 -4.46960E-14  1.07036E-11
 hf  72   0.004580 -0.705419 -0.000305  1.30841E-10  2.94244E-14  4.56635E-11
 ta  73  -0.825166 -0.705166 -0.000051  1.96308E-11 -1.94202E-15  6.85114E-12
  w  74  -0.055635 -0.705635 -0.000521  1.17315E-10 -1.16469E-14  4.09431E-11
 re  75  -0.481871 -0.741871 -0.036756  4.45324E-11 -1.37742E-12  1.55418E-11
 os  76   0.647657 -0.702343  0.002772  6.13036E-10  1.34143E-12  2.13950E-10
 ir  77   0.614889 -0.705111  0.000003  5.74421E-10 -5.70793E-14  2.00473E-10
 pt  78   0.882547 -0.737453 -0.032338  1.07971E-09 -1.07414E-13  3.76818E-10
 au  79   0.094889 -0.705111  0.000003  1.77759E-10 -1.77289E-14  6.20380E-11
 hg  80   0.433271 -0.736729 -0.031614  3.94576E-10 -3.91631E-14  1.37707E-10
 tl  81   0.064888 -0.705112  0.000002  1.72140E-10 -1.70350E-14  6.00770E-11
 pb  82   1.334883 -0.705117 -0.000003  3.24954E-09 -3.24518E-13  1.13409E-09
 bi  83  -0.055111 -0.705111  0.000003  1.33519E-10 -1.33504E-14  4.65982E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.0136   0.0005  -0.0011  -0.0016   0.0011
# Initial mass = 1.150, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.642, Mass expelled =   0.5080
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.25194E-01 -1.41989E-02  3.68399E-01
 he   2  10.982237  0.052237  0.754082  2.76450E-01  1.33467E-02  1.40436E-01
  c   6   8.268750 -0.201250  0.500595  1.60444E-03  5.57426E-04  8.15055E-04
  n   7   7.480154 -0.389846  0.311999  3.04434E-04  7.91830E-05  1.54652E-04
  o   8   8.041586 -0.688414  0.013432  1.26670E-03  2.73969E-05  6.43483E-04
  f   9   4.124158 -0.335842  0.366003  1.81912E-07  5.25890E-08  9.24111E-08
 ne  10   7.353020 -0.616980  0.084866  3.27292E-04  2.93837E-05  1.66264E-04
 na  11   5.660268 -0.649732  0.052113  7.56485E-06  4.31215E-07  3.84295E-06
 mg  12   6.938820 -0.701180  0.000666  1.51883E-04  4.60277E-08  7.71567E-05
 al  13   5.780957 -0.689043  0.012803  1.17226E-05  1.67496E-07  5.95510E-06
 si  14   6.848731 -0.701269  0.000576  1.42631E-04  2.73430E-08  7.24568E-05
  p  15   4.777772 -0.692227  0.009618  1.33587E-06  1.42330E-08  6.78621E-07
  s  16   6.458309 -0.701691  0.000154  6.62727E-05 -1.98779E-08  3.36665E-05
 cl  17   4.532750 -0.697250  0.004595  8.69755E-07  4.23714E-09  4.41835E-07
 ar  18   5.738115 -0.701885 -0.000040  1.57255E-05 -8.17090E-09  7.98855E-06
  k  19   4.379304 -0.700696  0.001149  6.73678E-07  1.03236E-09  3.42228E-07
 ca  20   5.587981 -0.702019 -0.000174  1.11656E-05 -7.44694E-09  5.67211E-06
 sc  21   2.358142 -0.691858  0.009987  7.37775E-09  8.17464E-11  3.74790E-09
 ti  22   4.209923 -0.700077  0.001768  5.58410E-07  8.85109E-10  2.83672E-07
  v  23   3.256597 -0.703403 -0.001558  6.61708E-08 -6.83116E-11  3.36148E-08
 cr  24   4.919013 -0.720987 -0.019142  3.10439E-06 -9.52809E-10  1.57703E-06
 mn  25   4.778937 -0.701063  0.000782  2.37577E-06  1.01522E-09  1.20689E-06
 fe  26   6.838155 -0.701845  0.000000  2.76779E-04 -1.32743E-07  1.40604E-04
 co  27   4.194775 -0.675225  0.026620  6.63939E-07  1.97547E-08  3.37281E-07
 ni  28   5.500957 -0.699043  0.002802  1.33825E-05  3.72861E-08  6.79831E-06
 cu  29   3.606113 -0.643887  0.057959  1.84585E-07  1.16374E-08  9.37692E-08
 zn  30   3.945171 -0.684829  0.017016  4.14766E-07  7.90224E-09  2.10701E-07
 ga  31   2.439151 -0.640849  0.060996  1.37886E-08  9.12067E-10  7.00463E-09
 ge  32   2.899697 -0.680303  0.021543  4.14827E-08  2.52834E-09  2.10732E-08
 as  33   1.627888 -0.672112  0.029733  2.28819E-09  7.59004E-11  1.16240E-09
 se  34   2.664837 -0.675163  0.026682  2.62566E-08  1.99077E-09  1.33384E-08
 br  35   1.893441 -0.646559  0.055286  4.49784E-09  2.71181E-10  2.28490E-09
 kr  36   2.640576 -0.609424  0.092422  2.63514E-08  2.59496E-09  1.33865E-08
 rb  37   1.742102 -0.617898  0.083947  3.39547E-09  3.01788E-10  1.72490E-09
 sr  38   2.430540 -0.449460  0.252385  1.69878E-08  3.82591E-09  8.62982E-09
  y  39   1.759241 -0.410759  0.291086  3.67424E-09  9.10697E-10  1.86651E-09
