#   col   Z       t [s]     A   elem     13Msun   15Msun    20Msun      25 Msun   30Msun      35 Msun
  156    1e-06   0.0e+00    4  He     3.88e+00   4.51e+00   6.04e+00   7.51e+00   8.91e+00   1.03e+01
  157    1e-06   0.0e+00    6  Li     7.86e-15   6.68e-15   4.60e-15   2.81e-15   9.18e-16   1.32e-17
  158    1e-06   0.0e+00    7  Li     3.97e-16   2.89e-12   2.66e-11   3.97e-11   4.66e-11   5.37e-11
  159    1e-06   0.0e+00    9  Be     2.04e-15   1.70e-15   1.18e-15   7.22e-16   3.10e-16   3.23e-59
  160    1e-06   0.0e+00   10  B      1.43e-14   1.27e-14   9.92e-15   6.53e-15   3.82e-15   8.19e-16
  161    1e-06   0.0e+00   11  B      1.27e-13   1.32e-13   1.49e-13   1.63e-13   1.75e-13   1.88e-13
  162    1e-06   0.0e+00   12  C      1.04e-01   1.61e-01   3.69e-01   4.91e-01   7.18e-01   7.57e-01
  163    1e-06   0.0e+00   13  C      3.92e-08   3.84e-08   6.48e-08   5.97e-08   7.81e-06   3.26e-05
  164    1e-06   0.0e+00   14  N      4.58e-06   5.42e-06   1.27e-05   2.59e-05   3.98e-05   6.45e-05
  165    1e-06   0.0e+00   15  N      8.62e-10   1.47e-09   7.16e-09   3.30e-08   3.10e-08   9.69e-08
  166    1e-06   0.0e+00   16  O      2.31e-01   4.64e-01   1.18e+00   2.18e+00   3.45e+00   4.67e+00
  167    1e-06   0.0e+00   17  O      4.63e-08   6.28e-08   5.23e-07   8.11e-07   1.38e-05   3.47e-05
  168    1e-06   0.0e+00   18  O      4.69e-08   6.96e-08   9.00e-08   1.94e-07   1.92e-07   9.14e-07
  169    1e-06   0.0e+00   19  F      1.21e-10   1.74e-10   4.24e-10   1.21e-09   1.42e-08   3.54e-07
  170    1e-06   0.0e+00   20  Ne     4.31e-02   1.55e-01   2.59e-01   6.57e-01   6.68e-01   1.05e+00
  171    1e-06   0.0e+00   21  Ne     1.87e-06   4.74e-06   4.11e-05   4.14e-05   5.24e-05   4.35e-05
  172    1e-06   0.0e+00   22  Ne     8.60e-07   2.87e-06   1.96e-05   3.23e-05   3.65e-05   3.99e-05
  173    1e-06   0.0e+00   23  Na     2.38e-04   7.59e-04   1.85e-03   2.88e-03   3.16e-03   2.95e-03
  174    1e-06   0.0e+00   24  Mg     3.58e-02   6.13e-02   1.04e-01   1.37e-01   1.82e-01   2.06e-01
  175    1e-06   0.0e+00   25  Mg     1.03e-04   1.09e-04   2.89e-04   3.21e-04   3.11e-04   2.14e-04
  176    1e-06   0.0e+00   26  Mg     1.64e-04   2.46e-04   3.67e-04   5.16e-04   4.43e-04   3.68e-04
  177    1e-06   0.0e+00   27  Al     4.96e-04   1.08e-03   1.49e-03   1.74e-03   1.83e-03   1.73e-03
  178    1e-06   0.0e+00   28  Si     5.74e-02   7.65e-02   1.54e-01   1.41e-01   2.33e-01   2.23e-01
  179    1e-06   0.0e+00   29  Si     3.49e-04   3.00e-04   6.98e-04   4.53e-04   8.37e-04   5.64e-04
  180    1e-06   0.0e+00   30  Si     3.07e-04   2.12e-04   4.25e-04   2.13e-04   3.38e-04   1.64e-04
  181    1e-06   0.0e+00   31  P      1.24e-04   1.08e-04   2.13e-04   1.31e-04   2.05e-04   1.22e-04
  182    1e-06   0.0e+00   32  S      2.47e-02   3.50e-02   6.62e-02   6.76e-02   1.09e-01   1.11e-01
  183    1e-06   0.0e+00   33  S      6.13e-05   6.20e-05   1.45e-04   1.00e-04   1.72e-04   1.27e-04
  184    1e-06   0.0e+00   34  S      3.56e-04   2.55e-04   5.04e-04   2.40e-04   3.24e-04   1.62e-04
  185    1e-06   0.0e+00   36  S      1.02e-08   2.49e-09   4.91e-09   1.17e-09   1.93e-09   4.84e-10
  186    1e-06   0.0e+00   35  Cl     2.86e-05   3.13e-05   4.89e-05   3.16e-05   4.59e-05   2.82e-05
  187    1e-06   0.0e+00   37  Cl     3.34e-06   6.01e-06   8.29e-06   7.29e-06   1.26e-05   1.06e-05
  188    1e-06   0.0e+00   36  Ar     4.76e-03   6.78e-03   1.23e-02   1.36e-02   2.15e-02   2.29e-02
  189    1e-06   0.0e+00   38  Ar     7.68e-05   1.32e-04   1.26e-04   1.03e-04   9.88e-05   7.87e-05
  190    1e-06   0.0e+00   40  Ar     2.52e-10   7.14e-11   1.34e-10   5.14e-11   9.37e-11   6.14e-10
  191    1e-06   0.0e+00   39  K      2.16e-05   3.23e-05   1.95e-05   1.56e-05   1.97e-05   1.66e-05
  192    1e-06   0.0e+00   40  K      4.81e-09   3.02e-09   5.98e-09   2.58e-09   3.38e-09   1.76e-09
  193    1e-06   0.0e+00   41  K      8.85e-07   1.86e-06   1.69e-06   1.69e-06   2.98e-06   2.55e-06
  194    1e-06   0.0e+00   40  Ca     4.47e-03   5.92e-03   1.08e-02   1.24e-02   1.95e-02   2.09e-02
  195    1e-06   0.0e+00   42  Ca     1.78e-06   4.54e-06   2.24e-06   2.52e-06   1.90e-06   1.67e-06
  196    1e-06   0.0e+00   43  Ca     3.34e-07   2.25e-07   4.38e-08   6.57e-09   2.65e-09   2.44e-09
  197    1e-06   0.0e+00   44  Ca     7.92e-05   5.17e-05   3.75e-05   2.06e-05   1.51e-05   1.17e-05
  198    1e-06   0.0e+00   46  Ca     2.14e-12   1.94e-12   2.67e-12   3.18e-12   1.12e-11   3.75e-10
  199    1e-06   0.0e+00   48  Ca     7.95e-11   9.27e-11   1.24e-10   1.54e-10   1.85e-10   2.10e-10
  200    1e-06   0.0e+00   45  Sc     5.64e-08   1.05e-07   8.60e-08   9.35e-08   1.35e-07   1.38e-07
  201    1e-06   0.0e+00   46  Ti     1.72e-06   4.25e-06   1.36e-06   1.79e-06   1.18e-06   1.07e-06
  202    1e-06   0.0e+00   47  Ti     9.59e-07   6.51e-07   2.40e-07   6.92e-08   4.05e-08   4.24e-08
